"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 06 16:03:36 MSK 2026","Sat Jun 06 16:03:36 MSK 2026","325","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: null]","При создании заказа тело ответа содержит track","Проверяем, что заказ можно создать с разными вариантами цвета, а тело ответа содержит track"
"passed","Sat Jun 06 16:03:31 MSK 2026","Sat Jun 06 16:03:31 MSK 2026","442","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCanLogin","Курьер может авторизоваться","Проверяем, что созданный курьер может авторизоваться, запрос возвращает 200 и id"
"passed","Sat Jun 06 16:03:35 MSK 2026","Sat Jun 06 16:03:36 MSK 2026","393","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@7569bc9f]","При создании заказа тело ответа содержит track","Проверяем, что заказ можно создать с разными вариантами цвета, а тело ответа содержит track"
"passed","Sat Jun 06 16:03:30 MSK 2026","Sat Jun 06 16:03:31 MSK 2026","287","","tests.CourierCreateTest","","tests.CourierCreateTest","courierCannotBeCreatedWithoutLogin","Для создания курьера нужно передать логин","Проверяем, что запрос без login возвращает ошибку с корректным текстом"
"passed","Sat Jun 06 16:03:29 MSK 2026","Sat Jun 06 16:03:30 MSK 2026","810","","tests.CourierCreateTest","","tests.CourierCreateTest","duplicateCourierCannotBeCreated","Нельзя создать двух одинаковых курьеров","Проверяем, что повторное создание курьера с теми же данными возвращает ошибку"
"passed","Sat Jun 06 16:03:31 MSK 2026","Sat Jun 06 16:03:32 MSK 2026","637","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCannotLoginWithWrongPassword","Система вернет ошибку при неверном пароле","Проверяем, что авторизация с неверным password возвращает 404 и корректный текст ошибки"
"passed","Sat Jun 06 16:03:35 MSK 2026","Sat Jun 06 16:03:35 MSK 2026","404","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@174e5929]","При создании заказа тело ответа содержит track","Проверяем, что заказ можно создать с разными вариантами цвета, а тело ответа содержит track"
"passed","Sat Jun 06 16:03:34 MSK 2026","Sat Jun 06 16:03:34 MSK 2026","456","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@38f7a20]","При создании заказа тело ответа содержит track","Проверяем, что заказ можно создать с разными вариантами цвета, а тело ответа содержит track"
"passed","Sat Jun 06 16:03:34 MSK 2026","Sat Jun 06 16:03:35 MSK 2026","371","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@172ca6a]","При создании заказа тело ответа содержит track","Проверяем, что заказ можно создать с разными вариантами цвета, а тело ответа содержит track"
"passed","Sat Jun 06 16:03:36 MSK 2026","Sat Jun 06 16:03:51 MSK 2026","15381","","tests.OrderListTest","","tests.OrderListTest","getOrdersReturnsOrdersList","В тело ответа возвращается список заказов","Проверяем, что запрос списка заказов возвращает 200, а тело ответа содержит orders"
"passed","Sat Jun 06 16:03:32 MSK 2026","Sat Jun 06 16:03:33 MSK 2026","616","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCannotLoginWithWrongLogin","Система вернет ошибку при неверном логине","Проверяем, что авторизация с неверным login возвращает 404 и корректный текст ошибки"
"passed","Sat Jun 06 16:03:30 MSK 2026","Sat Jun 06 16:03:30 MSK 2026","287","","tests.CourierCreateTest","","tests.CourierCreateTest","courierCannotBeCreatedWithoutPassword","Для создания курьера нужно передать пароль","Проверяем, что запрос без password возвращает ошибку с корректным текстом"
"passed","Sat Jun 06 16:03:31 MSK 2026","Sat Jun 06 16:03:31 MSK 2026","467","","tests.CourierCreateTest","","tests.CourierCreateTest","courierCanBeCreated","Курьера можно создать","Проверяем, что курьера можно создать с валидными login, password и firstName"
"passed","Sat Jun 06 16:03:15 MSK 2026","Sat Jun 06 16:03:29 MSK 2026","13657","","tests.CourierCreateTest","","tests.CourierCreateTest","courierWithExistingLoginReturnsError","Если создать пользователя с существующим логином, возвращается ошибка","Проверяем, что создание курьера с уже существующим login возвращает ошибку"
"passed","Sat Jun 06 16:03:33 MSK 2026","Sat Jun 06 16:03:34 MSK 2026","567","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCannotLoginWithoutLogin","Для авторизации нужно передать логин","Проверяем, что авторизация без login возвращает 400 и корректный текст ошибки"
"passed","Sat Jun 06 16:03:33 MSK 2026","Sat Jun 06 16:03:33 MSK 2026","551","","tests.CourierLoginTest","","tests.CourierLoginTest","nonExistentCourierCannotLogin","Если авторизоваться под несуществующим пользователем, возвращается ошибка","Проверяем, что авторизация несуществующего курьера возвращает 404 и корректный текст ошибки"
