"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 13:03:33 MSK 2026","Thu Jun 04 13:03:37 MSK 2026","4676","","tests.CourierCreateTest","","tests.CourierCreateTest","courierWithExistingLoginReturnsError","Если создать пользователя с существующим логином, возвращается ошибка",""
"passed","Thu Jun 04 13:03:38 MSK 2026","Thu Jun 04 13:03:39 MSK 2026","281","","tests.CourierCreateTest","","tests.CourierCreateTest","courierCannotBeCreatedWithoutPassword","Для создания курьера нужно передать пароль",""
"passed","Thu Jun 04 13:03:40 MSK 2026","Thu Jun 04 13:03:41 MSK 2026","486","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCanLogin","Курьер может авторизоваться",""
"passed","Thu Jun 04 13:03:43 MSK 2026","Thu Jun 04 13:03:44 MSK 2026","1267","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCannotLoginWithoutLogin","Для авторизации нужно передать логин",""
"passed","Thu Jun 04 13:03:45 MSK 2026","Thu Jun 04 13:03:45 MSK 2026","133","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@78e386a5]","При создании заказа тело ответа содержит track",""
"passed","Thu Jun 04 13:03:41 MSK 2026","Thu Jun 04 13:03:42 MSK 2026","1625","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCannotLoginWithWrongPassword","Система вернет ошибку при неверном пароле",""
"passed","Thu Jun 04 13:03:43 MSK 2026","Thu Jun 04 13:03:43 MSK 2026","296","","tests.CourierLoginTest","","tests.CourierLoginTest","nonExistentCourierCannotLogin","Если авторизоваться под несуществующим пользователем, возвращается ошибка",""
"passed","Thu Jun 04 13:03:45 MSK 2026","Thu Jun 04 13:03:45 MSK 2026","155","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@6138ee0e]","При создании заказа тело ответа содержит track",""
"passed","Thu Jun 04 13:03:45 MSK 2026","Thu Jun 04 13:03:45 MSK 2026","138","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: null]","При создании заказа тело ответа содержит track",""
"passed","Thu Jun 04 13:03:44 MSK 2026","Thu Jun 04 13:03:45 MSK 2026","161","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@f28ee19]","При создании заказа тело ответа содержит track",""
"passed","Thu Jun 04 13:03:39 MSK 2026","Thu Jun 04 13:03:39 MSK 2026","306","","tests.CourierCreateTest","","tests.CourierCreateTest","courierCannotBeCreatedWithoutLogin","Для создания курьера нужно передать логин",""
"passed","Thu Jun 04 13:03:45 MSK 2026","Thu Jun 04 13:03:45 MSK 2026","149","","tests.OrderCreateTest","","tests.OrderCreateTest","orderCanBeCreatedWithColorOptions[Цвета заказа: [Ljava.lang.String;@35c69e6b]","При создании заказа тело ответа содержит track",""
"passed","Thu Jun 04 13:03:38 MSK 2026","Thu Jun 04 13:03:38 MSK 2026","706","","tests.CourierCreateTest","","tests.CourierCreateTest","duplicateCourierCannotBeCreated","Нельзя создать двух одинаковых курьеров",""
"passed","Thu Jun 04 13:03:42 MSK 2026","Thu Jun 04 13:03:43 MSK 2026","617","","tests.CourierLoginTest","","tests.CourierLoginTest","courierCannotLoginWithWrongLogin","Система вернет ошибку при неверном логине",""
"passed","Thu Jun 04 13:03:45 MSK 2026","Thu Jun 04 13:04:01 MSK 2026","15875","","tests.OrderListTest","","tests.OrderListTest","getOrdersReturnsOrdersList","В тело ответа возвращается список заказов",""
"passed","Thu Jun 04 13:03:39 MSK 2026","Thu Jun 04 13:03:40 MSK 2026","1088","","tests.CourierCreateTest","","tests.CourierCreateTest","courierCanBeCreated","Курьера можно создать",""
